timestamp,machine_id,failure,val1,val2,val3,val4,field7,val5,val6,val7
2020-03-19 00:00:00,Z20109,0,55765412,60,22353,33,11,3,4,69.4
2020-03-19 00:02:00,Z20109,0,94948681,15,18842,183,9,0,0,55.6
2020-03-19 00:04:00,Z20109,0,85210102,28,4774,406,9,3,1,20.7
2020-03-19 00:06:00,Z20109,0,63417483,226,5192,51,10,0,3,60.0
2020-03-19 00:08:00,Z20109,0,52670434,129,15157,473,12,2,0,13.8
2020-03-19 00:10:00,Z20109,0,10602008,108,20710,302,11,1,2,24.1
2020-03-19 00:12:00,Z20109,0,38876087,124,13061,311,9,1,2,41.6
2020-03-19 00:14:00,Z20109,0,58350011,201,22618,414,12,0,2,1.2
2020-03-19 00:16:00,Z20109,0,29746918,204,12026,327,12,3,3,25.2
2020-03-19 00:18:00,Z20109,0,33191565,294,19055,52,10,1,4,9.5
2020-03-19 00:20:00,Z20109,0,22621584,220,14846,313,10,0,4,38.3
2020-03-19 00:22:00,Z20109,0,44787045,58,8469,34,9,0,4,67.9
2020-03-19 00:24:00,Z20109,0,81880632,368,1409,501,12,2,0,53.0
2020-03-19 00:26:00,Z20109,0,35446254,253,12005,459,10,0,0,31.3
2020-03-19 00:28:00,Z20109,0,82204338,306,13433,376,11,2,0,48.2
2020-03-19 00:30:00,Z20109,0,50742209,111,21764,230,12,1,0,50.5
2020-03-19 00:32:00,Z20109,0,66324599,266,13698,253,9,2,3,61.1
2020-03-19 00:34:00,Z20109,0,101023165,110,9723,169,12,0,4,32.8
2020-03-19 00:36:00,Z20109,0,56282814,183,6508,226,9,1,1,54.4
2020-03-19 00:38:00,Z20109,0,18235264,197,22620,45,9,2,2,16.1
2020-03-19 00:40:00,Z20109,0,84071165,156,24076,304,11,2,1,16.5
2020-03-19 00:42:00,Z20109,0,32505503,386,10340,526,10,3,4,6.5
2020-03-19 00:44:00,Z20109,0,27778464,41,17646,311,9,0,1,42.5
2020-03-19 00:46:00,Z20109,0,104020771,199,16130,455,10,3,2,5.3
2020-03-19 00:48:00,Z20109,0,85285582,142,5856,249,10,3,0,66.1
2020-03-19 00:50:00,Z20109,0,76333861,139,20792,272,12,1,2,63.6
2020-03-19 00:52:00,Z20109,0,97905859,373,23640,89,9,3,1,65.1
2020-03-19 00:54:00,Z20109,0,43101328,33,24336,85,10,3,0,65.9
2020-03-19 00:56:00,Z20109,0,64489399,232,4698,208,10,1,4,69.2
2020-03-19 00:58:00,Z20109,0,46350910,329,14484,521,10,3,4,65.5
2020-03-19 01:00:00,Z20109,0,61535796,261,1633,171,9,3,1,57.8
2020-03-19 01:02:00,Z20109,0,86674371,162,17097,87,11,1,3,62.3
2020-03-19 01:04:00,Z20109,0,63764431,189,10472,421,10,2,0,58.9
2020-03-19 01:06:00,Z20109,0,102460394,170,23275,417,12,3,1,42.9
2020-03-19 01:08:00,Z20109,0,42591978,232,19184,228,10,0,0,25.4
2020-03-19 01:10:00,Z20109,0,16971688,220,24658,203,10,3,0,56.4
2020-03-19 01:12:00,Z20109,0,57331180,134,20736,359,9,2,1,68.0
2020-03-19 01:14:00,Z20109,0,99646385,26,23611,183,10,3,3,12.7
2020-03-19 01:16:00,Z20109,0,18192090,392,15517,318,10,1,2,41.2
2020-03-19 01:18:00,Z20109,0,10446803,36,6186,403,12,2,3,62.8
2020-03-19 01:20:00,Z20109,0,66270085,21,18944,525,10,3,3,42.5
2020-03-19 01:22:00,Z20109,0,35970827,7,21380,200,12,3,4,68.4
2020-03-19 01:24:00,Z20109,0,27351038,196,2643,337,12,3,4,21.9
2020-03-19 01:26:00,Z20109,0,78919670,160,19628,231,12,0,3,39.4
2020-03-19 01:28:00,Z20109,0,102858244,11,23945,122,10,3,2,45.7
2020-03-19 01:30:00,Z20109,0,28905556,143,11449,247,10,1,2,42.9
2020-03-19 01:32:00,Z20109,0,57169495,355,7770,437,9,2,1,24.5
2020-03-19 01:34:00,Z20109,0,56676952,330,24458,428,11,1,3,49.1
2020-03-19 01:36:00,Z20109,0,66653322,161,2184,422,11,1,1,56.7
2020-03-19 01:38:00,Z20109,0,100108484,92,6877,140,10,3,3,54.6
2020-03-19 01:40:00,Z20109,0,20547880,314,11501,119,9,1,2,69.4
2020-03-19 01:42:00,Z20109,0,64217143,223,9009,392,10,2,0,28.5
2020-03-19 01:44:00,Z20109,0,46889661,184,1268,91,11,1,2,18.5
2020-03-19 01:46:00,Z20109,0,33943781,322,23649,306,11,2,0,45.9
2020-03-19 01:48:00,Z20109,0,59950080,355,8496,482,12,1,1,50.4
2020-03-19 01:50:00,Z20109,0,31976455,346,401,49,9,2,3,5.6
2020-03-19 01:52:00,Z20109,0,56825959,44,17166,154,10,0,4,59.5
